"mun";"lei";"desc";"link";"UF";"lei_ord";"ata";"decreto";"medida";"oficio";"portaria";"resolucao";"data";"codmun";"id_munic_7";"id_estado"
"Osasco";"Decreto Nº 12474 de 21 de maio de 2020";"Antecipa o ponto facultativo de 12 de junho de 2020 para 22 de maio de 2020 e altera o Decreto nº 12.335, de 20 de dezembro de 2019.";"http://leismunicipa.is/bdocy";"SP";0;0;1;0;0;0;0;2020-05-21;353440;3534401;35
"Sorocaba";"Decreto Nº 25759 de 21 de maio de 2020";"(Dispõe a denominação do Hospital de Campanha para enfrentamento da pandemia do COVID-19 em Sorocaba e dá outras providências).";"http://leismunicipa.is/gofya";"SP";0;0;1;0;0;0;0;2020-05-21;355220;3552205;35
"Patos de Minas";"Decreto Nº 4839 de 21 de maio de 2020";"Dispõe sobre a Promoção da Arte e Cultura no âmbito do município de Patos de Minas durante a pandemia do Coronavírus (COVID-19).";"http://leismunicipa.is/ynkal";"MG";0;0;1;0;0;0;0;2020-05-21;314800;3148004;31
"Cabo de Santo Agostinho";"Decreto Nº 1901 de 21 de maio de 2020";"Determina a requisição administrativa de bens imóveis, benfeitorias e equipamentos que especifica, e dá outras providências.";"http://leismunicipa.is/nlkby";"PE";0;0;1;0;0;0;0;2020-05-21;260290;2602902;26
"Ribeirão Preto";"Lei Ordinária Nº 14477 de 21 de maio de 2020";"INSTITUI MEDIDAS DE TRANSPARÊNCIA ATIVA NO MUNICÍPIO DE RIBEIRÃO PRETO, REFERENTES ÀS AÇÕES DE ENFRENTAMENTO DA COVID-19, E DÁ OUTRAS PROVIDÊNCIAS.";"http://leismunicipa.is/holcy";"SP";1;0;0;0;0;0;0;2020-05-21;354340;3543402;35
"Ribeirão Preto";"Lei Ordinária Nº 14476 de 21 de maio de 2020";"OBRIGA A DIVULGAÇÃO DO NÚMERO DE LEITOS DE UTI DISPONÍVEIS PARA TRATAMENTO DO CORONAVÍRUS, BEM COMO DO NÚMERO DE PACIENTES CURADOS DA DOENÇA NO MUNICÍPIO DE RIBEIRÃO PRETO, CONFORM...";"http://leismunicipa.is/hyloc";"SP";1;0;0;0;0;0;0;2020-05-21;354340;3543402;35
"Campinas";"Lei Ordinária Nº 15907 de 21 de maio de 2020";"Altera a data dos feriados de Corpus Christi e do Dia da Consciência Negra, nos termos que especifica.";"http://leismunicipa.is/coybd";"SP";1;0;0;0;0;0;0;2020-05-21;350950;3509502;35
"São Bernardo do Campo";"Decreto Nº 21165 de 20 de maio de 2020";"Dispõe sobre suplementação de dotações orçamentárias.";"http://leismunicipa.is/cybdo";"SP";0;0;1;0;0;0;0;2020-05-20;354870;3548708;35
"Uberaba";"Decreto Nº 5533 de 20 de maio de 2020";"Prorroga os prazos de vigência dos Decretos nº 5381/2020 e 5382/2020 e dá outras providências.";"http://leismunicipa.is/lbynm";"MG";0;0;1;0;0;0;0;2020-05-20;317010;3170107;31
"Sorocaba";"Decreto Nº 25758 de 20 de maio de 2020";"(Dispõe sobre alteração no orçamento vigente e dá outras providências).";"http://leismunicipa.is/ofkyg";"SP";0;0;1;0;0;0;0;2020-05-20;355220;3552205;35
"Barueri";"Decreto Nº 9144 de 20 de maio de 2020";"Altera dispositivo do decreto 9061/2019";"http://leismunicipa.is/gyclo";"SP";0;0;1;0;0;0;0;2020-05-20;350570;3505708;35
"Recife";"Portaria do Executivo Nº 1038 de 20 de maio de 2020";"--";"http://leismunicipa.is/bycmn";"PE";0;0;0;0;0;1;0;2020-05-20;261160;2611606;26
"Patos de Minas";"Decreto Nº 4834 de 20 de maio de 2020";"Dispõe sobre as comemorações do aniversário da cidade de Patos de Minas a se realizar no dia 24 de maio de 2020.";"http://leismunicipa.is/nkyal";"MG";0;0;1;0;0;0;0;2020-05-20;314800;3148004;31
"Taboão da Serra";"Lei Ordinária Nº 2315 de 20 de maio de 2020";"Dispõe sobre o uso obrigatório de máscaras de proteção facial em decorrência do enfrentamento da emergência de saúde pública durante a pandemia de Covid-19 no âmbito do Município d...";"http://leismunicipa.is/efyln";"SP";1;0;0;0;0;0;0;2020-05-20;355280;3552809;35
"Florianópolis";"Decreto Nº 21593 de 20 de maio de 2020";"REFORÇA AS MEDIDAS PARA ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DA INFECÇÃO HUMANA PELO NOVO CORONAVÍRUS (COVID-19) EM VIRTUDE DO FERIA...";"http://leismunicipa.is/lknby";"SC";0;0;1;0;0;0;0;2020-05-20;420540;4205407;42
"Niterói";"Lei Ordinária Nº 3499 de 20 de maio de 2020";"Dispõe sobre novas medidas para o enfrentamento aos efeitos da COVID-19.";"http://leismunicipa.is/libyn";"RJ";1;0;0;0;0;0;0;2020-05-20;330330;3303302;33
"Santos";"Decreto Nº 8960 de 20 de maio de 2020";"ABRE CRÉDITO SUPLEMENTAR NA IMPORTÂNCIA DE R$ 8.516.919,89 (OITO MILHÕES, QUINHENTOS E DEZESSEIS MIL, NOVECENTOS E DEZENOVE REAIS E OITENTA E NOVE CENTAVOS) AUTORIZADO PELO ART. 5º...";"http://leismunicipa.is/hmnyk";"SP";0;0;1;0;0;0;0;2020-05-20;354850;3548500;35
"Recife";"Portaria do Executivo Nº 1040 de 20 de maio de 2020";"--";"http://leismunicipa.is/ymcan";"PE";0;0;0;0;0;1;0;2020-05-20;261160;2611606;26
"Patos de Minas";"Decreto Nº 4835 de 20 de maio de 2020";"Dispõe sobre o horário de funcionamento dos restaurantes, shoppings, mercado municipal e supermercados durante o enfrentamento da emergência de saúde pública decorrente do Coronaví...";"http://leismunicipa.is/nykal";"MG";0;0;1;0;0;0;0;2020-05-20;314800;3148004;31
"Salvador";"Decreto Nº 32428 de 20 de maio de 2020";"Fica aberto o Crédito Adicional Extraordinário para atender as ações de combate a pandemia do COVID-19.";"http://leismunicipa.is/lknay";"BA";0;0;1;0;0;0;0;2020-05-20;292740;2927408;29
"Recife";"Portaria do Executivo Nº 1039 de 20 de maio de 2020";"--";"http://leismunicipa.is/mnyca";"PE";0;0;0;0;0;1;0;2020-05-20;261160;2611606;26
"Rio de Janeiro";"Lei Ordinária Nº 6744 de 20 de maio de 2020";"Dispõe sobre o fornecimento obrigatório de equipamento de proteção individual (EPI) aos empregados de postos autorizados de revenda de combustíveis e lojas de conveniências durante...";"http://leismunicipa.is/yogfh";"RJ";1;0;0;0;0;0;0;2020-05-20;330455;3304557;33
"Rio de Janeiro";"Lei Ordinária Nº 6743 de 20 de maio de 2020";"Determina prioridade na vacinação contra gripe aos cuidadores em decorrência do combate ao novo coronavírus.";"http://leismunicipa.is/ghfyo";"RJ";1;0;0;0;0;0;0;2020-05-20;330455;3304557;33
"Sorocaba";"Decreto Nº 25757 de 20 de maio de 2020";"(Eleva o crédito adicional extraordinário para despesa de investimento das ações de enfrentamento da emergência pública decorrente do novo Coronavírus - COVID-19 e dá outras provid...";"http://leismunicipa.is/gkyfo";"SP";0;0;1;0;0;0;0;2020-05-20;355220;3552205;35
"Osasco";"Decreto Nº 12469 de 20 de maio de 2020";"Dispõe sobre a abertura de crédito extraordinário no orçamento do Município de Osasco para o exercício de 2020.";"http://leismunicipa.is/cbdyo";"SP";0;0;1;0;0;0;0;2020-05-20;353440;3534401;35
"Criciúma";"Lei Ordinária Nº 7709 de 20 de maio de 2020";"Cria o cargo temporário de <U+0093>motorista de ambulância - socorrista<U+0094> no Município de Criciúma, para atuar durante o período de decretação de situação de emergência em saúde, decorrent...";"http://leismunicipa.is/dboya";"SC";1;0;0;0;0;0;0;2020-05-20;420460;4204608;42
"Uberaba";"Decreto Nº 5534 de 20 de maio de 2020";"Impõe medidas emergenciais, decorrentes da propagação do Coronavírus <U+0096> COVID-19 na Secretaria Municipal de Saúde do Município de Uberaba, Estado de Minas Gerais e dá outras providê...";"http://leismunicipa.is/lbnym";"MG";0;0;1;0;0;0;0;2020-05-20;317010;3170107;31
"Uberaba";"Decreto Nº 5535 de 20 de maio de 2020";"Cria, no âmbito do Município de Uberaba, Estado de Minas Gerais, Grupo de Trabalho para programação e execução de inaugurações virtuais e dá outras providências.";"http://leismunicipa.is/lybmn";"MG";0;0;1;0;0;0;0;2020-05-20;317010;3170107;31
"Salvador";"Decreto Nº 32427 de 20 de maio de 2020";"Define ações regionalizadas para enfrentamento da pandemia decorrente do coronavírus mediante apoio e proteção aos moradores e restrição de atividades, na forma que indica e dá out...";"http://leismunicipa.is/fbypi";"BA";0;0;1;0;0;0;0;2020-05-20;292740;2927408;29
"Uberaba";"Decreto Nº 5536 de 20 de maio de 2020";"DISPÕE SOBRE A DESIGNAÇÃO, PARA O EXERCÍCIO DA FUNÇÃO PÚBLICA TEMPORÁRIA DE DENTISTA PLANTONISTA, E DÁ OUTRAS PROVIDÊNCIAS.";"http://leismunicipa.is/lbymn";"MG";0;0;1;0;0;0;0;2020-05-20;317010;3170107;31
"Taboão da Serra";"Lei Ordinária Nº 2316 de 20 de maio de 2020";"Dispõe sobre: ""A divulgação e envio, semanalmente, à Câmara Municipal de relatório atualizado das ações, receitas e despesas de prevenção e combate ao Covid-19 no município de Tabo...";"http://leismunicipa.is/cayho";"SP";1;0;0;0;0;0;0;2020-05-20;355280;3552809;35
