"mun";"lei";"desc";"link";"UF";"lei_ord";"ata";"decreto";"medida";"oficio";"portaria";"resolucao";"data";"codmun";"id_munic_7";"id_estado"
"Nossa Senhora do Socorro";"Decreto Nº 20443 de 10 de junho de 2020";"PONTO FACULTATIVO NO MUNICÍPIO DE NOSSA SENHORA DO SOCORRO E DÁ OUTRAS PROVIDÊNCIAS.";"http://leismunicipa.is/pediy";"SE";0;0;1;0;0;0;0;2020-06-10;280480;2804805;28
"Santa Isabel";"Decreto Nº 6226 de 10 de junho de 2020";"Dispõe sobre a abertura de crédito adicional extraordinário no orçamento vigente, e dá outras providências.";"http://leismunicipa.is/yehpi";"SP";0;0;1;0;0;0;0;2020-06-10;521935;5219357;52
"Santa Isabel";"Decreto Nº 6226 de 10 de junho de 2020";"Dispõe sobre a abertura de crédito adicional extraordinário no orçamento vigente, e dá outras providências.";"http://leismunicipa.is/yehpi";"SP";0;0;1;0;0;0;0;2020-06-10;354680;3546801;35
"São José";"Decreto Nº 13442 de 10 de junho de 2020";"ALTERA O CALEND?RIO DE FERIADOS E PONTOS FACULTATIVOS DO MUNIC?PIO DE S?O JOS?.";"http://leismunicipa.is/yhaip";"SC";0;0;1;0;0;0;0;2020-06-10;421660;4216602;42
"São Bento do Sul";"Lei Ordinária Nº 4255 de 10 de junho de 2020";"AUTORIZA A ABERTURA DE CRÉDITO ADICIONAL EXTRAORDINÁRIO AO ORÇAMENTO VIGENTE DO MUNICÍPIO.";"http://leismunicipa.is/gyhbp";"SC";1;0;0;0;0;0;0;2020-06-10;421580;4215802;42
"Balneário Camboriú";"Decreto Nº 9945 de 10 de junho de 2020";"<U+0093>Dispõe sobre a abertura de crédito adicional suplementar, autorizado pelo artigo 6º, inciso II, da Lei Municipal 4.358 de 18/12/2019 (LOA) e dá outras providências<U+0094>.";"http://leismunicipa.is/gpjya";"SC";0;0;1;0;0;0;0;2020-06-10;420200;4202008;42
"Porto Alegre";"Ordem de Serviço Nº 3 de 10 de junho de 2020";"Estabelece procedimentos para tramitação das Requisições de Informações Comunitárias (RICs) que versem sobre políticas públicas e atos municipais de combate à pandemia decorrente d...";"http://leismunicipa.is/ypagj";"RS";0;0;0;0;0;0;0;2020-06-10;431490;4314902;43
"São Bento do Sul";"Decreto Nº 1809 de 10 de junho de 2020";"ABRE CRÉDITO ADICIONAL EXTRAORDINÁRIO NO ORÇAMENTO VIGENTE DO MUNICÍPIO DE SÃO BENTO DO SUL.";"http://leismunicipa.is/afpyh";"SC";0;0;1;0;0;0;0;2020-06-10;421580;4215802;42
"Serafina Corrêa";"Decreto Nº 860 de 10 de junho de 2020";"Prorroga o vencimento de dívidas tributárias e dá outras providências.";"http://leismunicipa.is/fyhpg";"RS";0;0;1;0;0;0;0;2020-06-10;432040;4320404;43
"Terra Roxa";"Decreto Nº 3510 de 10 de junho de 2020";"Dispõe sobre a concessão de adicional de insalubridade em grau máximo para os servidores públicos lotados na Secretaria Municipal de Saúde, que estejam prestando serviço de atendim...";"http://leismunicipa.is/ypgah";"PR";0;0;1;0;0;0;0;2020-06-10;412740;4127403;41
